Text,Timestamp,Author,URL,Status,Sentiment_Score,Emotion,Key_Topics
Terima kasih kepada pengikut terbaru saya! Senang Anda bergabung!,2025-09-03T16:01:09.474922,Ameeza Qiandra,,neutral,0.00,neutral,
Kondisi saat ini rumah mewah uya kuya setelah di jarah dan di rusak masa 31/8/2025‼️,2025-09-03T16:01:09.477952,Jurnalis Bkl,,neutral,0.00,neutral,
ga kerasa udah 6bulan ajah bumil inih 🥰sehat sehat yah butunkuh 😘,2025-09-03T16:01:09.478295,Ayang Fani Ciwidey,,neutral,0.00,neutral,
"Makannya jgn jadi tukang minta, sekali2lah tanam sendiri biar jgn kena kata dari bp tua😂😂🤣 @sorotan",2025-09-03T16:01:09.478751,Rosvita,,neutral,0.00,neutral,
Waduh enteng banget mulut pelakornya 🙈,2025-09-03T16:01:09.479066,Topik terkini,,neutral,0.00,neutral,
Wullan Ros and 78 others,2025-09-03T16:01:09.479329,Wullan Ros,,neutral,0.00,neutral,
Selvia Gea and 18 others,2025-09-03T16:01:09.479758,Selvia Gea,,neutral,0.00,neutral,
Write a comment…,2025-09-03T16:01:09.487115,Selvia Gea,,,0.00,,
Perempuan hebat 🫰🏆🇮🇩,2025-09-03T16:01:09.488181,Winda Ayu Safitri,,,0.00,,
Matahari Tak Pernah Datang,2025-09-03T16:01:09.489701,PEJUANG MONETISASI,,neutral,0.00,neutral,
Ahmad Ridwan Arifin and 1 other,2025-09-03T16:01:09.498935,PEJUANG MONETISASI,,neutral,0.00,neutral,
kita berjuang sembuh yah anak kuat ibu😇🥺😭buat bunda² di grup ini doakan anak saya cepat sembuh yah bund 😊🥰,2025-09-03T16:01:09.502494,Tips Sehat Ibu Hamil da,,neutral,0.00,neutral,
"Malam itu, udara basah oleh hujan yang baru reda. Jalanan aspal masih licin, memantulkan cahaya lampu kota yang temaram.",2025-09-03T16:01:09.503242,Zuliati Zuliati,,neutral,0.00,neutral,
Iren Zebua and 73K others,2025-09-03T16:01:09.507784,Zuliati Zuliati,,neutral,0.00,neutral,
"Peredator Anakonda lewat tiba tiba, 😨aku nyuci serius 😰😱",2025-09-03T16:01:09.508369,Mamak Tama Hutauruk,,neutral,0.00,neutral,
Dey RQ and 196K others,2025-09-03T16:01:09.512334,Mamak Tama Hutauruk,,neutral,0.00,neutral,
Ini Bukan kakak Fattah Ya Temen2 😅,2025-09-03T16:01:09.512792,Aqeela Calista Fans,,neutral,0.00,neutral,
Sama sama Geulis 🩶,2025-09-03T16:01:09.517491,Aqeela Calista Fans,,,0.00,,
"Beberapa Warga Inisiatif Membantu Uya Kuya Pindah Rumah Dengan Membawakan Barang Barangnya, Sungguh Sangat Baik",2025-09-03T16:01:09.518331,Khaerul Umam,,neutral,0.00,neutral,
Albi Sabakingking and 125K others,2025-09-03T16:01:09.521476,Khaerul Umam,,neutral,0.00,neutral,
BREAKING: Rihanna gave birth to her third child in a f@tal birth… A$AP Rocky burst into tears over a choice that haunted hi,2025-09-03T16:01:09.522632,Panda Dreams,,neutral,0.00,neutral,
"Adek cantik ini nggak pernah susah makan, sama apa aja dia lahap, sama lalapan pun dia mau. 🤗",2025-09-03T16:02:20.032957,Resti Holipah,,neutral,0.00,neutral,
Salam SKSD Semuanya,2025-09-03T16:02:20.033283,Nova,,,0.00,,
Akhir nya bisa cari keringat lagi 🏐🥰,2025-09-03T16:02:20.047326,Arni Wolla,,neutral,0.00,neutral,
Berburu jamur jarami,2025-09-03T16:03:39.392671,Resti Holipah,,,0.00,,
"Bukan sok ganteng yakan , sukak aja aku menggara garain abangku memang",2025-09-03T16:03:39.399544,Evfranda Hatoguan,,neutral,0.00,neutral,
Iren Zebua and 6.7K others,2025-09-03T16:03:39.402766,Evfranda Hatoguan,,neutral,0.00,neutral,
"“Hidup itu singkat, jadi nikmati setiap detik dengan hati yang penuh syukur.”😊",2025-09-03T16:03:39.403088,Imelda Bani,,neutral,0.00,neutral,
Mau jadi Ninja 😅,2025-09-03T16:03:39.403635,Dey RQ,,,0.00,,
Dey RQ and 26 others,2025-09-03T16:03:39.406804,Dey RQ,,,0.00,,
sami teu di daerah baraya nujh seueur demo,2025-09-03T16:03:39.407205,Ai Nurhayati,,neutral,0.00,neutral,
Ai Nurhayati and 8 others,2025-09-03T16:03:39.410220,Ai Nurhayati,,neutral,0.00,neutral,
Untung aja itu cuma mimpi yaa Axy🙈 Saksikan sinetron,2025-09-03T16:03:39.411114,PT Sinemart,,neutral,0.00,neutral,
Umasugi Gita and 10 others,2025-09-03T16:03:39.414578,Umasugi Gita,,neutral,0.00,neutral,
Temenin mami masak2 d rumah abang dan kasih kejuatan ulang tahun buat seli,2025-09-03T16:04:45.406862,Ciska Ciska,,neutral,0.00,neutral,
Afif Yuliani and 62K others,2025-09-03T16:04:45.410180,Ciska Ciska,,neutral,0.00,neutral,
Otw cari pemula yang belum pernah dapet NAGA🐉🐉🐉🐉🌟🤗✅,2025-09-03T16:04:45.410488,Devii,,neutral,0.00,neutral,
Dey RQ and 3.4K others,2025-09-03T16:04:45.414555,Devii,,neutral,0.00,neutral,
Ayuha jua bgmatan nah mudhn kwa jua gajihan kya orang².. Intinya tetap semangat💪,2025-09-03T16:04:45.415028,Silvia Ananda,,neutral,0.00,neutral,
"Cerita hari kemarin ,pas nguping sepekar abu haji pupus terus di tlpn ...memastikan . Singkat cerita ,tuh kang Jajat suru",2025-09-03T16:04:45.416112,Ai Saadah,,neutral,0.00,neutral,
September S is one hundred million months 🤲🏻,2025-09-03T16:04:45.416499,Widiya Yanti Daily,,neutral,0.00,neutral,
Sakiyeu oge udh Alhamdulillah Nama nya juga belajar 😆 Gak app ?di Bilang jelek kebanyak,2025-09-03T16:06:09.752029,Ai Saadah,,neutral,0.00,neutral,
Mawul ada galau 🙈😁😂,2025-09-03T16:06:09.755665,Wulan Muda,,,0.00,,
"Selamat ipar syg, langgeng sllu dan bahagia sllu🥰🥰",2025-09-03T16:06:09.756377,Charol,,neutral,0.00,neutral,
It's cold baby 😨,2025-09-03T16:06:09.756866,Bowo Potabuga,,,0.00,,
Bowo Potabuga and 11 others,2025-09-03T16:06:09.760517,Bowo Potabuga,,neutral,0.00,neutral,
KOCAK banget bikin KOCOK perut🤣,2025-09-03T16:06:09.760940,Kadek Joged Bali,,neutral,0.00,neutral,
Arbani Yasiz bersama Raissa Ramadhani menikmati honeymoon di Dubai 🖤,2025-09-03T16:06:09.761479,Fansleslar,,neutral,0.00,neutral,
hayuu taruang baraya,2025-09-03T16:06:09.761992,Ai Nurhayati,,,0.00,,
Ai Nurhayati and 24 others,2025-09-03T16:06:09.765531,Ai Nurhayati,,neutral,0.00,neutral,
Mari hadapi hari ini dengan senyuman dan keyakinan. Selamat siang!🤗,2025-09-03T16:06:09.766037,Wullan Ros,,neutral,0.00,neutral,
"Lost in Italy, but found happiness 🇮🇹☀️",2025-09-03T16:06:09.774213,Luna Maya,,neutral,0.00,neutral,
Shumardia and 53K others,2025-09-03T16:06:09.778050,Luna Maya,,neutral,0.00,neutral,
Aku sepi sepi sepi sepi bila tak ada kamu💔🥲,2025-09-03T16:06:09.778366,Rakha Mala,,neutral,0.00,neutral,
perubahan dulu sampai sekarang ko bisa keren banget😲😱,2025-09-03T16:06:09.779065,Bang Ibnu,,neutral,0.00,neutral,
Tidak Tamat SMP Bantu Ayah Dengan jadi OJOL Sejak lama Affan Kurniawan bercita-cita ingin belikan Rumah Untuk Orang,2025-09-03T16:06:09.779749,Putri Aziz,,neutral,0.00,neutral,
Iren Zebua and 130K ot,2025-09-03T16:06:09.783366,Putri Aziz,,neutral,0.00,neutral,
Hotel terbaik di Dunia🥰 berada Di Pulau Sumba,2025-09-03T16:06:09.783834,Julia Airon,,neutral,0.00,neutral,
RESEP BOBA Bahan-bahan:,2025-09-03T16:06:09.784418,Orinhana,,neutral,0.00,neutral,
Nuryani Obess and 34 oth,2025-09-03T16:07:21.096794,Umasugi Gita,,neutral,0.00,neutral,
Mpok Alpa masih bisa di ajak ngobrol sebelum tak sadarkan diri 🥲,2025-09-03T16:07:21.115170,Nita Purnama Habibie,,neutral,0.00,neutral,
"Raffi ahmad melayat ke rmh duka alm affan kurniawan dan memberikan santunan uang utk org tua alm, alasan raffi baru skrg",2025-09-03T16:07:21.115706,Asty Nirwana,,neutral,0.00,neutral,
Benc! J4d! Bucin ~ part 8,2025-09-03T16:07:21.116293,Eko movie,,neutral,0.00,neutral,
"Kita nunggu si teteh pami nya , Anu punung Yong eskrim 😄😄",2025-09-03T16:07:21.116615,Ai Saadah,,neutral,0.00,neutral,
"Ya Allah ga pa2 duda juga , Yang penting Arhan Cius yang manis itu ga ngebosenin",2025-09-03T16:07:21.116967,Teteh Karawang,,neutral,0.00,neutral,
"""A million ideas mean nothing if they never bring them to life, start with one and let it flow."" """,2025-09-03T16:09:47.074039,Umasugi Gita,,neutral,0.00,neutral,
Umasugi Gita and 4 others,2025-09-03T16:09:47.076680,Umasugi Gita,,neutral,0.00,neutral,
Pramugari Muda ✅,2025-09-03T16:09:47.080998,Pramugari Muda,,,0.00,,
Ai Nurhayati and 14 others,2025-09-03T16:09:47.086087,Ai Nurhayati,,neutral,0.00,neutral,
Assalamualaikum jangan lupa olahraga....,2025-09-03T16:09:47.086347,Dini Karuniasari,,neutral,0.00,neutral,
Bersama alumni 9H spensika angkatan 60....,2025-09-03T16:09:47.086822,Lin Lin Andriani,,neutral,0.00,neutral,
Lin Lin Andriani and 15 oth,2025-09-03T16:09:47.090307,Lin Lin Andriani,,neutral,0.00,neutral,
Wullan Ros and 66 others,2025-09-03T16:09:47.090770,Wullan Ros,,neutral,0.00,neutral,
Anak moyang slamat ultah yg ke 1 tahun,2025-09-03T16:09:47.095072,Nova,,neutral,0.00,neutral,
Nova and 2 others,2025-09-03T16:09:47.098834,Nova,,,0.00,,
Waktu nya tolat sisa semalem,2025-09-03T16:10:59.222774,Ai Saadah,,neutral,0.00,neutral,
di segerinn duluu,2025-09-03T16:10:59.229738,Aas Holimah,,,0.00,,
