Text,Timestamp,Author,URL,Status,Sentiment_Score,Emotion,Key_Topics
Berburu jamur jarami,2025-09-03T16:03:39.392671,Resti Holipah,,,0.00,,
"Bukan sok ganteng yakan , sukak aja aku menggara garain abangku memang",2025-09-03T16:03:39.399544,Evfranda Hatoguan,,neutral,0.00,neutral,
Iren Zebua and 6.7K others,2025-09-03T16:03:39.402766,Evfranda Hatoguan,,neutral,0.00,neutral,
"“Hidup itu singkat, jadi nikmati setiap detik dengan hati yang penuh syukur.”😊",2025-09-03T16:03:39.403088,Imelda Bani,,neutral,0.00,neutral,
Mau jadi Ninja 😅,2025-09-03T16:03:39.403635,Dey RQ,,,0.00,,
Dey RQ and 26 others,2025-09-03T16:03:39.406804,Dey RQ,,,0.00,,
sami teu di daerah baraya nujh seueur demo,2025-09-03T16:03:39.407205,Ai Nurhayati,,neutral,0.00,neutral,
Ai Nurhayati and 8 others,2025-09-03T16:03:39.410220,Ai Nurhayati,,neutral,0.00,neutral,
Untung aja itu cuma mimpi yaa Axy🙈 Saksikan sinetron,2025-09-03T16:03:39.411114,PT Sinemart,,neutral,0.00,neutral,
Umasugi Gita and 10 others,2025-09-03T16:03:39.414578,Umasugi Gita,,neutral,0.00,neutral,
